Index,Link,Label,Text,FileName,Transcription,sort_key
11.0,https://www.tiktok.com/@makeeamericcagreatagain/video/7361785041996844331,1,"""President Trump with an important message. You got to hear what he's saying. Check this out, share and repost under Crook or Joe Biden, the worst president in the history of the United States of America. The price of food has surged nearly 39%. When you go to the grocery store, you're spending 152 100 even $250 or more. And you can't even believe how little food you're getting or buying comparing it to three years ago when I was president, the cost of basics like eggs and chicken and steak is way up and it's getting worse and worse with each passing day and month, every time you go to the grocery store and pay these brutal prices. Just remember this is crooked Joe Biden's inflation and there's never been an inflation like it. It's the worst in 72 years. But I think it's much longer than that. Under my leadership, we had no inflation, it was virtually zero. Then crooked Joe came along and you had inflation at the highest level in 52 years. Joe Biden and the radical left Democrats printed trillions and trillions of dollars and wasted on the Green New scam and that's what it is. It's the Green new scam. It's a disaster and taxpayer funded benefits for hordes of illegal aliens. We're paying so much for illegal aliens, but we're not taking care of our soldiers, our veterans, we're not taking care of our people and that includes the elderly. Now you are paying the price in your grocery bill for all of Joe Biden's waste and plunder. We've never had anything like this. He's the worst president in the history of our country and he's not taking care of our people. He probably doesn't know that because I'm not sure he knows anything but he's not taking care of our people. He looted the treasury to enrich his political allies. And now you have to pinch pennies in your own shopping cart to cover the cost and you look at it on a weekly basis, how much more it is. It just keeps going up and up. It's a disgrace, but I will fix it and I will fix it fast. I will end Joe Biden's inflation nightmare once and for all. And we will quickly rebuild the greatest economy in the history of the world. We will drill baby drill. We will get energy prices down to a level that we haven't seen in four years and then everything else will follow. You're gonna be very happy again. You're gonna be very rich again. And that's the way we want it to be. Thank you very much. It's true. People can't afford anything. And just not long ago when he was in office, we were able to afford everything, whether we were going to the grocery store or paying our rent or paying our mortgage or property taxes or our electric bills. Gas, you name it. It was not as bad as it is now and it is just completely out of control. These politicians have been screwing us over for a long time, including recently with the $60 billion to Ukraine, which 70% of Americans disapproved of. And it was done anyway, I would have much rather them just told us straight to their fa straight to our faces. They don't care what we think versus going behind our backs acting like they do care and just doing it. This is what we're dealing with. This is why we need President Trump back in office if you want the cost of living to go back down to what it was.""",11_mp4_trial_2.json,"President Trump with an important message. You got to hear what he's saying. Check this out, share and repost under Crook or Joe Biden, the worst president in the history of the United States of America. The price of food has surged nearly 39%. When you go to the grocery store, you're spending 152 100 even $250 or more. And you can't even believe how little food you're getting or buying comparing it to three years ago when I was president, the cost of basics like eggs and chicken and steak is way up and it's getting worse and worse with each passing day and month, every time you go to the grocery store and pay these brutal prices. Just remember this is crooked Joe Biden's inflation and there's never been an inflation like it. It's the worst in 72 years. But I think it's much longer than that. Under my leadership, we had no inflation, it was virtually zero. Then crooked Joe came along and you had inflation at the highest level in 52 years. Joe Biden and the radical left Democrats printed trillions and trillions of dollars and wasted on the Green New scam and that's what it is. It's the Green new scam. It's a disaster and taxpayer funded benefits for hordes of illegal aliens. We're paying so much for illegal aliens, but we're not taking care of our soldiers, our veterans, we're not taking care of our people and that includes the elderly. Now you are paying the price in your grocery bill for all of Joe Biden's waste and plunder. We've never had anything like this. He's the worst president in the history of our country and he's not taking care of our people. He probably doesn't know that because I'm not sure he knows anything but he's not taking care of our people. He looted the treasury to enrich his political allies. And now you have to pinch pennies in your own shopping cart to cover the cost and you look at it on a weekly basis, how much more it is. It just keeps going up and up. It's a disgrace, but I will fix it and I will fix it fast. I will end Joe Biden's inflation nightmare once and for all. And we will quickly rebuild the greatest economy in the history of the world. We will drill baby drill. We will get energy prices down to a level that we haven't seen in four years and then everything else will follow. You're gonna be very happy again. You're gonna be very rich again. And that's the way we want it to be. Thank you very much. It's true. People can't afford anything. And just not long ago when he was in office, we were able to afford everything, whether we were going to the grocery store or paying our rent or paying our mortgage or property taxes or our electric bills. Gas, you name it. It was not as bad as it is now and it is just completely out of control. These politicians have been screwing us over for a long time, including recently with the $60 billion to Ukraine, which 70% of Americans disapproved of. And it was done anyway, I would have much rather them just told us straight to their fa straight to our faces. They don't care what we think versus going behind our backs acting like they do care and just doing it. This is what we're dealing with. This is why we need President Trump back in office if you want the cost of living to go back down to what it was.",11
12.0,https://www.tiktok.com/@greg_price11/video/7364132507756907818,1,"""In a moment in time where it seems like all hope is lost. All it took were a couple of UN C frat rows to single handedly reignite your faith in Western civilization. This is just the photo of the year put it in a museum. It's one of the most iconic things I've ever seen. If you don't know the story behind it. Palestinian activists have been running amok on college campuses all over America. They're really mad that Israel is fighting a war to destroy a terrorist organization and therefore are setting up encampments on their campuses because that's totally what normal well adjusted people do. And at the University of North Carolina Chapel Hill, they took down an American flag and replaced it with a Palestinian one. The police then came and took down that flag and put the American flag back up. But the pro Hamas loser kiss tried to take it back down again. And that when these UN cp cap bros stepped in, they held the flag up and prevented these people from stealing it again while being pelted by numerous objects. And like all of these dudes are just heroes between this guy and the hooter shirt, this guy cracking up while getting pelted with water. The whole thing is just absolutely perfect and to top it off, they even started singing the national anthem as the flag went back up. The whole thing is just absolutely perfect. There's also a gofundme that was set up to help them throw a rager. It has over $100,000 in less than a day. Commie. Losers across the country have invaded college campuses. But amidst the chaos, the screaming, the anti-semitism stood a pla of American heroes armed in vineyard vines in Patagonia, fueled by Zen and white claws. These triumphant bohemians protected old glory from the unwashed Marxist horde laughing at their shrieks in Wales and shielding the stars and stripes from Soviet missiles. So yeah, definitely help. These boys bring Project X to life.""",12_mp4_mp4_trial_2.json,"In a moment in time where it seems like all hope is lost. All it took were a couple of UN C frat rows to single handedly reignite your faith in Western civilization. This is just the photo of the year put it in a museum. It's one of the most iconic things I've ever seen. If you don't know the story behind it. Palestinian activists have been running amok on college campuses all over America. They're really mad that Israel is fighting a war to destroy a terrorist organization and therefore are setting up encampments on their campuses because that's totally what normal well adjusted people do. And at the University of North Carolina Chapel Hill, they took down an American flag and replaced it with a Palestinian one. The police then came and took down that flag and put the American flag back up. But the pro Hamas loser kiss tried to take it back down again. And that when these UN cp cap bros stepped in, they held the flag up and prevented these people from stealing it again while being pelted by numerous objects. And like all of these dudes are just heroes between this guy and the hooter shirt, this guy cracking up while getting pelted with water. The whole thing is just absolutely perfect and to top it off, they even started singing the national anthem as the flag went back up. The whole thing is just absolutely perfect. There's also a gofundme that was set up to help them throw a rager. It has over $100,000 in less than a day. Commie. Losers across the country have invaded college campuses. But amidst the chaos, the screaming, the anti-semitism stood a pla of American heroes armed in vineyard vines in Patagonia, fueled by Zen and white claws. These triumphant bohemians protected old glory from the unwashed Marxist horde laughing at their shrieks in Wales and shielding the stars and stripes from Soviet missiles. So yeah, definitely help. These boys bring Project X to life.",12
13.0,https://www.tiktok.com/@thedailyinformer/video/7363442132264193322,1,"""That's a damn show to her. Mhm. Yeah. For that you just wake up and it not be true, but it is over here.""",13_mp4_trial_2.json,"That's a damn show to her. Mhm. Yeah. For that you just wake up and it not be true, but it is over here.",13
14.0,https://www.tiktok.com/@greg_price11/video/7359687765836975402,1,"""If you are a guy who is a current college student or the parent of a guy currently in college, you need to watch this entire Tik Tok because the federal government just made it insanely easy for you or your son to have his life ruined by a mere accusation of wrongdoing. Today, Joe Biden's Department of Education, which is led by this guy, Miguel Cardona completely overhauled Title nine. If you don't know what Title nine is, it's a law from 1972 that prohibits sex based description nation at any school that receives federal funding. One of the areas of title nine that was completely overhauled is how universities deal with accusations of essay to make a long story short, boys, you need to be careful out there. A because the biggest lie that you've ever been told in your life is that it's actually fun to sleep with a random chick that you met at a party and b because under these new regulations, you are essentially now guilty until proven innocent. Now, I want to preface this by saying that of course not all accusations of essay are false when women come forward, they need to be taken seriously. Last time I checked, we still live in America and just because you are accused of something does not mean you are guilty of it. The standards for how S A is handled at universities were originally overhauled by the Obama administration. They created what is known as the single investigator model. The guidelines became that when a woman accuses a guy of sa a single college administrator now determines the outcome of the case. A K A, this random college administrator now can play judge jury in execution. Naturally, this led to several high profile instances of men being kicked out of their colleges and having their lives ruined due to a false accusation. I was also a first hand witness to this when I was a freshman at Sacred Heart University, a girl named Nikki Ivino accused two guys on the football team of raping her, but it later turned out that she made the entire thing up. She ended up going to jail for a year for this and received three years of probation after that. And even though that may seem like some semblance of justice, the damage to these two guys was already done. They lost their scholarships, they were forced to leave the school, they never played football again. Now when Trump came into office, his Department of Education under Betsy DeVos completely reversed the Obama era guidelines. The guidelines that they put in place gave people who were accused of sa the right to a live hearing where they could cross examine their accusers. They actually got some sort of a fair trial before a college administrator decided if they were guilty or innocent. But now under Biden and Cardona, the Kangaroo courts are back and not only are they back, their new regulations go even further than that under these new rules, schools are now required to use the preponderance of evidence standard. What this means that if just 51% of the evidence in a case points to their guilt, they're automatically guilty. Those accused are no longer are entitled to a guaranteed hearing to present their side of the story. And not only that schools are no longer required to provide accused students the full evidence that is being presented against them. So you're not allowed to present your side of the story. You're not allowed full access to the evidence being presented against you and one person at your college will decide if you're innocent or guilty. That is what will happen if you are accused of doing something wrong by a woman. This is not a joke, fellas, it's serious shit that could lead to your life being with all that being said, there's a very simple thing that can lead to this never happening to you. Stop banging random broads that you meet at parties. It may seem fun for the 1st 10 minutes or so. But then you eventually realize that you're in bed with a stranger. And it kind of sucks. You know, what's a lot more fun waking up next to somebody that you have a genuine connection with, taking somebody on a date, making them your girlfriend, knowing that you're already going home from the party with somebody you can trust. That's a lot more fun and we'll guarantee your safety from the Biden Kangaroo courts.""",14_mp4_trial_2.json,"If you are a guy who is a current college student or the parent of a guy currently in college, you need to watch this entire Tik Tok because the federal government just made it insanely easy for you or your son to have his life ruined by a mere accusation of wrongdoing. Today, Joe Biden's Department of Education, which is led by this guy, Miguel Cardona completely overhauled Title nine. If you don't know what Title nine is, it's a law from 1972 that prohibits sex based description nation at any school that receives federal funding. One of the areas of title nine that was completely overhauled is how universities deal with accusations of essay to make a long story short, boys, you need to be careful out there. A because the biggest lie that you've ever been told in your life is that it's actually fun to sleep with a random chick that you met at a party and b because under these new regulations, you are essentially now guilty until proven innocent. Now, I want to preface this by saying that of course not all accusations of essay are false when women come forward, they need to be taken seriously. Last time I checked, we still live in America and just because you are accused of something does not mean you are guilty of it. The standards for how S A is handled at universities were originally overhauled by the Obama administration. They created what is known as the single investigator model. The guidelines became that when a woman accuses a guy of sa a single college administrator now determines the outcome of the case. A K A, this random college administrator now can play judge jury in execution. Naturally, this led to several high profile instances of men being kicked out of their colleges and having their lives ruined due to a false accusation. I was also a first hand witness to this when I was a freshman at Sacred Heart University, a girl named Nikki Ivino accused two guys on the football team of raping her, but it later turned out that she made the entire thing up. She ended up going to jail for a year for this and received three years of probation after that. And even though that may seem like some semblance of justice, the damage to these two guys was already done. They lost their scholarships, they were forced to leave the school, they never played football again. Now when Trump came into office, his Department of Education under Betsy DeVos completely reversed the Obama era guidelines. The guidelines that they put in place gave people who were accused of sa the right to a live hearing where they could cross examine their accusers. They actually got some sort of a fair trial before a college administrator decided if they were guilty or innocent. But now under Biden and Cardona, the Kangaroo courts are back and not only are they back, their new regulations go even further than that under these new rules, schools are now required to use the preponderance of evidence standard. What this means that if just 51% of the evidence in a case points to their guilt, they're automatically guilty. Those accused are no longer are entitled to a guaranteed hearing to present their side of the story. And not only that schools are no longer required to provide accused students the full evidence that is being presented against them. So you're not allowed to present your side of the story. You're not allowed full access to the evidence being presented against you and one person at your college will decide if you're innocent or guilty. That is what will happen if you are accused of doing something wrong by a woman. This is not a joke, fellas, it's serious shit that could lead to your life being with all that being said, there's a very simple thing that can lead to this never happening to you. Stop banging random broads that you meet at parties. It may seem fun for the 1st 10 minutes or so. But then you eventually realize that you're in bed with a stranger. And it kind of sucks. You know, what's a lot more fun waking up next to somebody that you have a genuine connection with, taking somebody on a date, making them your girlfriend, knowing that you're already going home from the party with somebody you can trust. That's a lot more fun and we'll guarantee your safety from the Biden Kangaroo courts.",14
15.0,https://www.tiktok.com/@amyw33085/video/7375113816561995051,1,321. Go. Welcome to the Yeah.',15_mp4_trial_2.json,321. Go. Welcome to the Yeah.,15
16.0,https://www.tiktok.com/@theoldermillennial.1/video/7363772003163196715,1,"""Thanks to a federal subpoena from the House Republicans. We finally have details on the executive parolee program. If you're unaware of what this program is, this is where migrants who don't qualify for asylum or have criminal records in their country of origin or have been arrested after prior attempts to illegally enter our country. This is where by executive order of the president, those people not only get access to the US, but they actually get flown into the city of their choice and we find only have the records of where all these people are going and again, liberals, you can try to claim misinformation, but this is direct from the house subpoena. This was provided directly from the Department of Homeland Security. Here's the numbers according to customs and border patrol. Since the start of this program last year, more than 404,000 migrants have been flown into the US. Now remember these are migrants who don't qualify under any other program we have meaning that every one of these 404,000 migrants that have been flown into the US either has a criminal record in their country of origin. They don't qualify for asylum or they have been caught trying to illegally enter the US. Prior to this, this includes 154,000 Haitians, 95,000 Venezuelans, 84,000 Cubans and 69,000 Nicaraguans. Now, in case you were curious where all these migrants have been flown to take a look and see if your city is listed. I mean, it's very obvious these migrants love the beach. I mean, damn, think about how expensive a flight would be for any of us to any of these places, Miami, Fort Lauderdale, New York, Houston, Orlando L A, Tampa Dallas, San Fran. And again, this is information gained directly from a federal subpoena. So go ahead and try to disprove this one. The Biden administration is flying illegals who don't qualify wherever the fuck they want to go build back better.""",16_mp4_trial_2.json,"Thanks to a federal subpoena from the House Republicans. We finally have details on the executive parolee program. If you're unaware of what this program is, this is where migrants who don't qualify for asylum or have criminal records in their country of origin or have been arrested after prior attempts to illegally enter our country. This is where by executive order of the president, those people not only get access to the US, but they actually get flown into the city of their choice and we find only have the records of where all these people are going and again, liberals, you can try to claim misinformation, but this is direct from the house subpoena. This was provided directly from the Department of Homeland Security. Here's the numbers according to customs and border patrol. Since the start of this program last year, more than 404,000 migrants have been flown into the US. Now remember these are migrants who don't qualify under any other program we have meaning that every one of these 404,000 migrants that have been flown into the US either has a criminal record in their country of origin. They don't qualify for asylum or they have been caught trying to illegally enter the US. Prior to this, this includes 154,000 Haitians, 95,000 Venezuelans, 84,000 Cubans and 69,000 Nicaraguans. Now, in case you were curious where all these migrants have been flown to take a look and see if your city is listed. I mean, it's very obvious these migrants love the beach. I mean, damn, think about how expensive a flight would be for any of us to any of these places, Miami, Fort Lauderdale, New York, Houston, Orlando L A, Tampa Dallas, San Fran. And again, this is information gained directly from a federal subpoena. So go ahead and try to disprove this one. The Biden administration is flying illegals who don't qualify wherever the fuck they want to go build back better.",16
17.0,https://www.tiktok.com/@dailymail/video/7362854664238320938,1,"""Uh 00, let's see what you got fast. Donald Trump 2024.""",17_mp4_trial_2.json,"Uh 00, let's see what you got fast. Donald Trump 2024.",17
18.0,https://www.tiktok.com/@bamagir22_2/video/7367815669498285354,1,"""Something. Exactly. But I got two. I think it's time. We stop chill that. But nobody's right. If I young people speak, I can do much resistance. All the carry time. Fact be it starts. When is a, the man the style and.""",18_mp4_trial_2.json,"Something. Exactly. But I got two. I think it's time. We stop chill that. But nobody's right. If I young people speak, I can do much resistance. All the carry time. Fact be it starts. When is a, the man the style and.",18
19.0,https://www.tiktok.com/@savagetrump2024/video/7368908061458566442,1,',19_mp4_trial_2.json,,19
20.0,https://www.tiktok.com/@monkeman317/video/7361439134386277664,1,"""And gentlemen, I am officially running for president of the United States and we are going to make our country great again in order to make America great and glorious. Again, I am tonight announcing my candidacy for President of the Senate. Please welcome. I can draw ties in this bitch. Drop like flies in this bitch. I'll cut ties in this bitch. I'll cut ties in your face, cut your leg. That's why I live in a space. I said, I'd say the highest to a had. It is mean the word what make""",20_mp4_trial_2.json,"And gentlemen, I am officially running for president of the United States and we are going to make our country great again in order to make America great and glorious. Again, I am tonight announcing my candidacy for President of the Senate. Please welcome. I can draw ties in this bitch. Drop like flies in this bitch. I'll cut ties in this bitch. I'll cut ties in your face, cut your leg. That's why I live in a space. I said, I'd say the highest to a had. It is mean the word what make",20
